reg_militar;lugar;nombre;capacidad;coords;
can;santa cruz de tenerife;bateria de la concepcion;15;;
can;laguna;cuartel de san francisco;120;28.49325182332746, -16.31238006911636;
can;orotava;cuartel de san agustin;280;28.390989227782217, -16.522541085502947;
can;granadilla;cuartel de san francisco;20;;
can;santa cruz de la palma;cuartel de san francisco;204;28.687232765038598, -17.762130485932204;
can;san sebastian de gomera;cuartel de los remedios;100;28.090417594294546, -17.109479812511374;
can;las palmas;cuartel de san francisco;450;28.10386533114565, -15.424600117173043;
can;las palmas;cuartel de los reyes;34;;
can;las palmas;cuartel de san alonso de alvarado (antiguo de mata);110;28.1071381907279, -15.421609404494871;
can;las palmas;cuartel del lazareto;320;28.15225367746421, -15.420207695558195;
can;las palmas;cuartel de la bateria de artilleria de montaña;120;28.156307194247574, -15.425936686023052;
can;las palmas;seccion de intendencias;43;;
can;las palmas;seccion de sanidad militar;20;;
can;las palmas;cuartel del potrero;70;;
