"CUSEC","min_dist_army"
"0301404016",3900.82385391785
"0301404030",6008.73042636095
"0301404031",4155.23950127343
"0301405002",1996.36652902972
"0301405003",1811.04096556658
"0301405019",1811.04172220209
"0301405023",1918.81975302993
"0301406011",1685.03841414372
"0301406012",1542.08834501552
"0301406029",2136.85177778956
"0301404019",3472.22158751687
"0301404042",5572.73570055196
"0301405005",1164.08903719667
"0301405007",1113.00871797744
"0301406007",1722.4277137113
"0301406009",1936.32540228571
"0301406016",1110.50516132508
"0301407008",2648.03905403741
"0301407010",2825.04878782878
"0301407016",2411.00499098158
"0301404029",2867.84010654849
"0301404036",6529.64206952319
"0301404043",5842.84823132506
"0301405008",1464.77953116556
"0301405017",1795.82861220691
"0301405025",1990.14683085736
"0301406010",1915.49268103531
"0301406017",1006.94648434451
"0301406024",586.06360665105
"0301407002",2166.75559256376
"0301407009",2566.90447396344
"0301407017",2434.88841207327
"0301402030",1452.44950278434
"0301403009",1861.84472293008
"0301403016",2610.24061102144
"0301403023",1568.34141891887
"0301403034",1903.73456165059
"0301404008",2342.82139623129
"0301404020",4138.85176048915
"0301404033",5275.82434609058
"0301405001",1961.70153059697
"0301405020",1418.77434058922
"0301405022",2095.21597973526
"0301406013",1602.98191854485
"0301406014",1313.15399691894
"0301406028",1612.69372904616
"0301406031",1176.59908457597
"0301407012",2835.978233638
"0301407013",2592.78206656284
"0301408006",1936.97879157502
"0301408007",1876.28673364864
"0301405016",1665.63938842685
"0301405018",1801.39382112344
"0301405026",1669.96539162519
"0301406002",1475.58565784096
"0301406023",2318.75688203465
"0301406025",1663.63466406694
"0301406027",1988.88687057915
"0301406032",1140.61161468562
"0301407001",1646.4439095867
"0301407027",2816.51510631545
"0301408002",1439.56545314532
"0301408009",2310.47245925365
"0301408011",2883.81132236849
"0301404040",5088.67305870408
"0301405009",1251.82087306553
"0301405012",1522.55949311271
"0301406003",1908.3420258779
"0301406005",1730.56879246697
"0301406020",697.817315350868
"0301407004",2359.37110627693
"0301407006",2396.17946975135
"0301407024",2663.90888152563
"0301407026",2352.57670759939
"0301408012",3398.38333197826
"0301405010",1394.51066507098
"0301406004",1769.76868057989
"0301406006",1553.48127071201
"0301406019",306.390209742256
"0301406021",1068.58011367452
"0301407003",2240.07359366101
"0301407005",2577.73045882563
"0301407022",2387.90847260986
"0301407025",1991.11108694086
"0301408013",3425.29601919119
"0301408015",10155.549115301
"0301406030",2057.48441871088
"0301407011",2996.55629884179
"0301407014",2442.87452818229
"0301408004",1710.5238403136
"0301408005",1747.59806316046
"0301408023",9529.58333572754
"0301408024",3290.41931865738
"0301501009",35428.2001342738
"0301408014",6608.43217085466
"0301408016",5692.37855885646
"0301501001",35724.044106256
"0301501003",34127.4413736933
"0301801005",19477.1037982818
"0301802002",19484.6007232894
"0301408003",1571.98750586105
"0301408010",2223.06866012502
"0301408017",2858.53649353241
"0301408029",7037.68553188331
"0301501007",35189.2758737698
"0301801001",19661.3038459357
"0301803003",18049.0639387542
"0301407018",3091.32135995291
"0301407020",3214.17573696626
"0301408018",3378.70984782936
"0301408021",2061.54434845064
"0301408026",3657.92228930443
"0301408028",3774.89679443392
"0301802004",19267.3689343775
"0301803002",19631.4576564141
"0301901004",22952.0094079792
"0301902001",22800.6802174797
"0301404027",5633.33669856343
"0301404034",4984.1012004516
"0301404045",5200.50531159609
"0301406001",1494.48751305173
"0301406008",1835.61815589183
"0301406015",1038.13168594063
"0301406026",1593.30469574328
"0301407007",2486.93912764199
"0301407019",2573.10785598984
"0301408001",1517.67257381863
"0301408008",2079.37716828985
"0301408022",3180.83932631277
"0301408025",2875.94692246855
"0301502002",32576.5231111257
"0301502003",36194.7907977541
"0301901001",22985.9233312788
"0301901002",23155.0535844881
"0301904001",23590.5506429297
"0301501002",35358.4338929518
"0301501004",34907.2744743276
"0301802001",19486.0747022634
"0301802003",19531.4087907676
"0301902004",22413.7386953391
"0301903002",22430.484165323
"0302102001",35143.6149822568
"0302102003",36329.0430564589
"0301601001",14976.9408572926
"0301701001",19194.9715632793
"0301803004",19752.3280967087
"0301803005",20965.7380883187
"0301904002",23117.3073528419
"0301904003",23327.5119047961
"0302701001",6901.15096080455
"0301501006",34940.1523357452
"0301501008",35551.5162340491
"0301801002",19886.4328205605
"0301801004",19899.5503978081
"0301903004",22627.9686583018
"0301903006",22719.4692689921
"0302001001",11974.0944742254
"0302101002",34720.1517071608
"0303101007",16710.4355847996
"0303101009",16891.7257048806
"0303101017",17106.2732234032
"0301408019",2512.09643897316
"0301408027",2698.53245265311
"0301501005",34940.4795174042
"0301801003",20008.2161746611
"0301803001",18333.7186412822
"0301901003",22806.2235933151
"0301902002",22601.8818582221
"0301903005",22646.6471221687
"0302101001",34785.1324847902
"0302301001",43711.4085280914
"0301904004",24754.6254409451
"0302501001",27396.5078430857
"0302601001",28996.0373266679
"0303101013",16709.43570109
"0303101014",16771.6662222202
"0303103003",16390.8313554273
"0301902003",22705.7188303121
"0301903001",22636.9691160814
"0302102002",35047.6650038396
"0302201001",8022.86983340499
"0303101004",17025.5355210147
"0303101006",16907.5405165669
"0303102005",18851.8306404184
"0303102007",18363.5403197525
"0303103011",16356.3090919258
"0303103013",16749.8972747073
"0303103015",17066.154152016
"0301901005",23122.6872017656
"0301903003",22995.8573610705
"0302101003",34427.4624259196
"0302401002",31308.1039623394
"0302901001",17012.651373027
"0303101010",16936.9035340543
"0303102001",17655.3882718531
"0303102008",17838.0168551591
"0303103010",16507.6504168347
"0303104002",15861.0949892064
"0302401001",31139.2566050708
"0302401003",31919.6963867303
"0303001001",26200.4955771717
"0303101002",18236.4716416592
"0303102009",19061.8279513989
"0303103002",16563.5561419282
"0303103007",16118.6674258155
"0303103009",16456.0637590913
"0304101003",28100.3480426288
"0304101005",28861.1476050373
"0302801001",21255.6628221244
"0303101011",16964.3768677255
"0303101012",17193.6832419373
"0303103004",16533.1183464637
"0303103005",16633.9088766004
"0303301001",2525.79955565186
"0303401001",31772.0061587403
"0304201001",37126.67698879
"0304301001",36742.8081975389
"0303501001",12821.3100702637
"0304102001",26948.0257866261
"0304401003",29395.9847129381
"0302401004",31648.1229023911
"0303101001",17132.1999468713
"0303101008",16824.9646829529
"0303101015",16758.8356270615
"0303102003",19738.8599379885
"0303103001",16624.2239676053
"0303103008",16658.6262634091
"0303104004",13390.4961998555
"0303701001",5602.94193696004
"0303102002",18411.0996189163
"0303104001",16141.940015976
"0303104003",16127.1988092949
"0303601001",15400.4323757729
"0303801001",17674.8369147315
"0304702001",26280.7581855658
"0304801001",12487.8139276783
"0303103006",17191.6236434585
"0303104005",16461.3305983209
"0303201001",12618.7380362999
"0304301002",36591.0507659171
"0304301003",37083.8562416862
"0304801002",12224.3069942207
"0304802003",14195.6277284991
"0303101003",17192.7193924522
"0303101005",16879.665968905
"0303102004",17512.9072680139
"0303102006",18921.2884378538
"0303103012",16295.5591873552
"0303103014",16949.9754897987
"0304001001",28273.0965083507
"0304101002",28451.5170583976
"0304701002",26895.1054539617
"0304701004",27636.2813641401
"0304901004",32227.5185334574
"0304401001",30273.7570768107
"0304802001",12552.1419182784
"0304802002",12866.9526531501
"0305001004",16615.0580078638
"0305001005",10880.5660067377
"0305301003",28713.3887540034
"0305302002",26225.6105549272
"0304701005",27335.64681807
"0304901003",33256.5638570947
"0304902004",33440.0674194028
"0305001006",12541.8524933097
"0305301001",28477.491042553
"0305302004",28357.349054408
"0305601001",18745.0395712853
"0305801002",33145.6697722336
"0304901006",33937.1719298686
"0304902001",32976.7258828469
"0305002001",10365.7765751819
"0305002003",9102.82527330713
"0305501001",35916.7705367824
"0305501003",33942.9137444978
"0305801004",32373.1835280181
"0305901002",29564.3977747618
"0303901001",11897.5070813998
"0304101001",29109.8045819797
"0304701001",26897.8844110845
"0304701003",27377.2291967388
"0304901005",33666.4197055994
"0304901007",33870.6330477785
"0305002002",8040.2407303634
"0305003001",13433.5090402644
"0305501002",36237.3806871015
"0305501004",33178.0852033858
"0304802004",12765.5455713614
"0304901002",33534.0637090089
"0305003002",17702.0292089609
"0305201001",44505.8466521783
"0305301002",29384.0139149701
"0305302003",28706.4545198817
"0305302005",28679.9798886888
"0305901004",29326.4054445935
"0305901006",29288.7325848622
"0305903001",29859.7568067245
"0304401002",29096.2024321909
"0304501001",13269.2159873806
"0304902002",33566.2091655071
"0304902005",36831.4292050628
"0305001007",11984.2052900507
"0305001009",11788.8462185213
"0305601003",18431.908538799
"0305601005",17700.261455259
"0305602001",18464.9942979781
"0304101004",28134.6734382037
"0304601001",16557.5390137383
"0304702002",29204.281575425
"0304901001",32853.5919283988
"0305001001",11502.402860979
"0305001008",10844.4436348438
"0305101001",45214.0310524037
"0305401001",11753.7443989026
"0305601004",17958.8296839944
"0305701001",3390.4408488965
"0305901007",29526.5702257947
"0305903002",29662.9339930963
"0305904002",29268.204824529
"0305905001",30746.0900993787
"0306303001",38954.8866181322
"0306303003",37706.0516946502
"0306401003",33881.825883262
"0306501001",20246.6575393644
"0305801001",34725.0535314946
"0305801003",33276.1904816747
"0306001001",8511.8713740922
"0306201001",34656.1674304399
"0306302002",39204.2562441974
"0306302004",40580.960548962
"0306501002",20061.7987498075
"0305001002",11783.6069831466
"0305001003",11450.6372266298
